Product Name,ASIN,Product Type,Site Category,Price Range,Description
Crayola Washable Crayons for Kids 64ct (2 Boxes),B07KY2HBCM,Crayons,All Categories,$10-20,Washable crayons in a bulk twin-pack; ideal for coloring books and school use ages 3+
Crayola Crayon Tub 240ct,B084ZQVW1W,Crayons,All Categories,$20-40,Large tub of 240 assorted-color crayons; great value bulk supply for kids ages 3+
Crayola Large Crayons Assorted 8 Count,B001E63EJS,Crayons,All Categories,$5-10,Oversized easy-grip crayons for toddlers and young children ages 2+
Crayola MyFirst Jumbo Crayons Pack of 8,B00BUIE8OU,Crayons,All Categories,$5-10,Extra-thick toddler crayons with wide barrel for little hands ages 12+ months
Crayola Special Effects Bulk Crayon Set 5 Pack,B0CBCR7C87,Crayons,All Categories,$20-40,Five specialty 24-count packs: glitter pastel bold neon and metallic crayons for kids
Crayola Large Egg Crayons 12ct,B08JWCL49F,Crayons,All Categories,$5-10,Egg-shaped washable crayons sized perfectly for toddler hands ages 1+
Crayola Crayons Bulk 24 Packs,B00Y4QBJAQ,Crayons,All Categories,$20-40,Classpack of 24 boxes of crayons for school and party supply needs ages 3+
RoseArt Crayons 24 Per-Pack,B008M47GJE,Crayons,All Categories,$5-10,Affordable 24-count crayon pack; non-toxic and great for everyday coloring
RoseArt 64-Count Crayons,B003O85ID4,Crayons,All Categories,$5-10,Budget-friendly 64-color crayon set for kids; packaging may vary
RoseArt 24 Count Childrens Non-Toxic Crayons,B000V19LSK,Crayons,All Categories,$5-10,Classic non-toxic 24-count crayons for children at home or school
Crayola Twistables Colored Pencil Set 50ct,B07D4RN9NH,Colored Pencils,All Categories,$10-20,No-sharpen twist-up colored pencils for kids 4+; 50 colors including 20 exclusive shades
Crayola Twistables Colored Pencils Set 65ct with Art Case,B00AHAJEF0,Colored Pencils,All Categories,$10-20,65-piece set with 25 twist-up pencils and 40 drawing sheets in a portable plastic case
Crayola Twistables Art Bundle 50ct Pencils + 50ct Mini Crayons,B09XMDS8TV,Colored Pencils,All Categories,$10-20,No-sharpen bundle combining 50 colored pencils and 50 mini crayons for school supplies
Crayola Twistable Colored Pencils 18 Count,B000GYZ2CG,Colored Pencils,All Categories,$5-10,Compact 18-count twist-up colored pencils for ages 3+; no sharpener needed
ARTEZA 100 Colored Pencils for Kids Double-Sided 50 Pencils,B099GBKV37,Colored Pencils,All Categories,$10-20,50 double-sided pre-sharpened pencils giving 100 colors in one pack for kids
ARTEZA Scented Colored Pencils for Kids 24 Triangular,B099GK7KRY,Colored Pencils,All Categories,$10-20,24 fun-scented triangular pencils in aromas like mango strawberry and chocolate for school
ARTEZA 48 Colored Pencils for Kids Vibrant Triangular,B099GC6ZT9,Colored Pencils,All Categories,$10-20,48 highly pigmented pre-sharpened triangular pencils designed for layering and blending
ARTEZA Kids Colored Pencils 48ct Metallic and Neon,B099GS3MNG,Colored Pencils,All Categories,$10-20,48 metallic and neon triangular pre-sharpened colored pencils for drawing and doodling
Arteza Kids Erasable Colored Pencils Set of 48,B099GHQQHV,Colored Pencils,All Categories,$10-20,48 erasable vibrant triangular colored pencils; smooth colors perfect for coloring and school
Faber-Castell Classic Colored Pencils Tin Set 48 Colors,B01MCTOLRY,Colored Pencils,All Categories,$20-40,48-color tin set with eraser sharpener and sketch pencils; premium kids art product
Faber-Castell Classic Colored Pencils Tin Set 36 Colors,B01LWVTMY9,Colored Pencils,All Categories,$20-40,36 vibrant colors in a sturdy metal tin case; premium quality for kids
Faber-Castell Jumbo Grip Colouring Pencils Set 12 Pieces,B0007OECLC,Colored Pencils,All Categories,$10-20,Triangular jumbo-grip shatterproof 12-color pencils designed for children and adults
Faber-Castell Grip Colored EcoPencils 12 Count,B000TRC1MO,Colored Pencils,All Categories,$5-10,Eco-friendly 12-count grip colored pencils made from FSC-certified wood for kids
Crayola Ultra Clean Washable Markers 40ct Broad Line,B013RQPB5C,Washable Markers,All Categories,$10-20,40 broad-line ultra-clean washable markers in assorted colors for kids ages 3+
Crayola Washable Broad Line Marker Variety Set 64ct,B00J8PKQGQ,Washable Markers,All Categories,$20-40,64-piece variety set including ultra-clean window and gel FX markers for kids 3+
Crayola Ultra Clean Fine Line Washable Markers 40ct,B019592A6I,Washable Markers,All Categories,$10-20,40 fine-tip ultra-clean washable markers with 40 different colors for kids ages 3+
Crayola Super Tips Marker Set 100ct,B071CP6X88,Washable Markers,All Categories,$10-20,100 washable super-tip markers for kids and adults; makes thick and thin lines ages 3+
Crayola Super Tips Washable Markers 50 Count,B00004UFOO,Washable Markers,All Categories,$10-20,50-count washable super-tip markers for coloring books and art projects ages 3+
Crayola Super Tips Washable Marker Set 65 Piece,B00AHAJEGE,Washable Markers,All Categories,$10-20,65-piece washable super-tip marker gift set for kids; convenient storage included
Crayola Supertips Washable Markers 80ct Amazon Exclusive,B07MSBF4HS,Washable Markers,All Categories,$10-20,80-count bulk classroom supply of washable supertip markers with 12 scented shades ages 3+
Crayola My First Ultra-Clean Washable Markers 8ct,B006UBM1M8,Washable Markers,All Categories,$5-10,8 classic-color toddler markers with crush-proof tips designed for little hands ages 2+
Crayola Watercolor Paint Set 16 Count,B000CD0Q1I,Watercolor Paint,All Categories,$5-10,16-color washable watercolor paint set with one paint brush for kids ages 4+
Crayola Washable Watercolors 24 Count,B01KQDP3XE,Watercolor Paint,All Categories,$5-10,24-color washable watercolor paint set; safe non-toxic and easy to clean up for kids
Neliblu Watercolor Paint Set Pack of 24,B07KSMVXRC,Watercolor Paint,All Categories,$10-20,Bulk 24-pack of 8-color washable watercolor sets with brush; great for parties and classrooms
Watercolor Paint Set 48 Colors with Refillable Water Brush,B092QTCLTM,Watercolor Paint,All Categories,$10-20,48-color non-toxic washable watercolor set with refillable water brush pen and palette
Bedwina Watercolor Paint Sets Bulk Pack of 12,B088HHRNLP,Watercolor Paint,All Categories,$10-20,Bulk 12-pack of 8-color washable watercolor sets with palette tray and brush for classrooms
Ezzgol Watercolor Paint Sets Bulk Pack of 24,B08X27QJTC,Watercolor Paint,All Categories,$20-40,24 individual 8-color watercolor sets with wooden brush; bulk classroom art supply
ARTEZA Kids Painting and Drawing Kit 75-Piece Bundle,B09GVJ47MX,Art Activity Kits,All Categories,$20-40,75-piece all-in-one kit with mini colored pencils watercolors oil pastels and crayons for kids
VigorFun Art Supplies 240-Piece Drawing Art Kit Pink,B09BCJNNXD,Art Activity Kits,All Categories,$20-40,240-piece art set with trifold easel sketch pads crayons colored pencils and watercolors
VigorFun Art Supplies 240-Piece Drawing Art Kit Black,B09BCK2BJT,Art Activity Kits,All Categories,$20-40,240-piece comprehensive art kit with double-sided easel for kids girls boys teens ages 4-12
Crayola Silly Scents Inspiration Art Case 80 Pieces,B08V1M9R6K,Art Activity Kits,All Categories,$20-40,80-piece art case with scented markers twistable crayons and colored pencils; holiday gift set
Melissa and Doug Created by Me Stencil Art Coloring Activity Kit,B07D2MPQRN,Art Activity Kits,All Categories,$10-20,170+ stencil designs with 6 markers 2 crayons and paper for kids creative coloring activities
Melissa and Doug Jumbo 50-Page Kids Coloring Pads 3-Pack,B01DU1CC24,Art Activity Kits,Animals / Vehicles,$10-20,Three 50-page coloring pads featuring animals vehicles and mixed themes on premium paper
Melissa and Doug Paint with Water Activity Books Set Farm Ocean Safari,B00FS5LQK0,Art Activity Kits,Animals / Ocean,$10-20,Three paint-with-water activity books (Farm Ocean and Safari); 20 pictures per book
Zefy 3800 Plus Pcs Arts and Crafts Kit for Kids,B0G2RXVX71,Art Activity Kits,All Categories,$20-40,3800+ piece all-in-one craft kit with 20 project designs; ideal gift for girls and boys ages 4-12
